												
Year	Date Event Began	Time Event Began	Date of Restoration	Time of Restoration	Area Affected	NERC Region	Alert Criteria	Event Type	Demand Loss (MW)	Number Affected		
2010	2010-08-02	12:45	2010-08-04	11:00	Southwestern Louisiana	SERC	\N	Made Public Appeals	\N	\N		
2010	2010-08-02	12:45	2010-08-04	11:00	Southern Louisiana	SPP	\N	Made Public Appeals	\N	\N		
2010	2010-08-04	12:00	2010-08-04	22:00	"Northern Texas, Eastern New Mexico"	SPP	\N	Made Public Appeals	\N	\N		
2010	2010-08-09	12:00	2010-08-16	12:00	Upstate New York	RFC	\N	Fuel Supply Defiency	\N	\N		
2010	2010-08-12	8:21	2010-08-12	11:00	Central Nebraska	SPP	\N	Made Public Appeals	65	\N		
2010	2010-09-20	17:00	2010-09-20	17:30	"King George County, Virginia"	SERC	\N	Low Flying Helicopter	\N	\N		
2010	2010-09-22	6:12	2010-09-22	23:00	"Bakersfield, California"	WECC	\N	Firm Load Shed	526	\N		
2010	2010-09-27	15:15	2010-09-27	18:12	Central and Southern California	WECC	\N	Interruptible Load Shed	595	\N		
2010	2010-10-31	22:26	2010-11-01	1:45	"Bakersfield, California"	WECC	\N	Firm System Load Loss	500	\N		
2010	2010-11-04	9:46	2010-11-04	10:47	"Rock Springs, Wyoming"	WECC	\N	Transmission Equipment Failure/Interruptible Load Shed	\N	\N		
2010	2010-12-14	7:36	2010-12-15	9:00	Southern California	WECC	\N	Transmission Equipment/Firm System Load	464	\N		
2010	2010-12-30	14:00	2010-01-12	6:00	New York	RFC	\N	Fuel Supply Deficiency	300	\N		
2011	2011-01-27	17:00	2011-01-30	5:00	Central New York	NPCC	\N	Fuel Supply Deficiency (Coal)	108	\N		
2011	2011-02-02	17:00	2011-02-03	22:00	"Texas Panhandle, Southeastern New Mexico"	SPP	\N	Fuel Supply Deficiency (Natural Gas)	\N	\N		
2011	2011-02-03	15:00	2011-02-04	12:00	"San Diego area, California"	WECC	\N	Fuel Supply Deficiency (Natural Gas)	\N	\N		
2011	2011-02-09	16:30	2011-02-10	12:33	Texas	TRE	\N	Cold Weather Event	\N	\N		
2011	2011-02-24	16:51	2011-02-24	16:54	Arkansas	SPP	\N	Electrical System Separation (Islanding)	4	\N		
2011	2011-03-01	8:00	2011-03-05	9:30	Western New York	NPCC	\N	Fuel Supply Deficiency (Coal)	675	\N		
2011	2011-03-08	8:00	2001-03-18	9:00	Western New York	NPCC	\N	Fuel Supply Deficiency (Coal)	676	\N		
2011	2011-03-10	12:03	2011-03-11	6:00	Texas	TRE	\N	Suspected Physical Attack	\N	\N		
2011	2011-03-14	7:30	2011-03-14	16:55	"Baltimore, Maryland"	RFC	\N	Suspected Cyber Attack	\N	\N		
2011	2011-03-15	18:00	2011-03-15	19:14	"The Woodlands, Texas"	TRE	\N	Suspected Physical Attack	\N	\N		
2011	2011-03-17	7:40	2011-03-17	11:00	"Deerfield, New Hampshire"	NPCC	\N	Vandalism	\N	\N		
2011	2011-03-18	9:54	2011-03-18	15:34	"Greene County, Ohio"	RFC	\N	Vandalism	\N	\N		
2011	2011-03-21	0:57	2011-03-21	2:29	"Deerfield, New Hampshire"	NPCC	\N	Vandalism	\N	\N		
2011	2011-04-19	23:13	2011-04-20	19:14	"Osceola, Arkansas"	SERC	\N	Severe Weather	22	\N		
2011	2011-04-21	19:00	2011-04-29	19:05	"Trenton, Michigan"	RFC	\N	Suspicious Activity	\N	\N		
2011	2011-04-25	16:33	2011-04-25	17:19	Northeast Tennessee	SERC	\N	Equipment Malfunction	140	\N		
2011	2011-04-26	5:49	2011-04-27	9:59	Southern Louisiana	SPP	\N	Severe Weather	120	\N		
2011	2011-04-28	16:09	2011-04-28	16:10	"Phoenix, Arizona"	WECC	\N	Equipment Malfunction	960	\N		
2011	2011-05-09	4:08	2011-05-09	6:40	"Holtwood, Pennsylvania"	RFC	\N	Suspected Physical Attack	630	\N		
2011	2011-05-21	17:00	2011-05-22	18:34	"Dixie Valley Area, Nevada"	WECC	\N	Physical Attack	56	\N		
2011	2011-06-08	12:58	2011-06-08	12:58	"Fredrickson Substation, Washington"	WECC	\N	Vandalism	\N	\N		
2011	2011-06-15	16:00	2011-06-16	6:30	"Bingham County, Idaho"	WECC	\N	Vandalism	\N	\N		
2011	2011-06-18	16:45	2011-06-20	23:59	"Eastern, Arkansas"	SPP	\N	Public Appeal to Reduce Electricity Usage	\N	\N		
2011	2011-06-26	16:46	2011-06-27	7:59	Southwest Kansas	SPP	\N	Public Appeal to Reduce Electricity Usage	\N	\N		
2011	2011-06-27	18:55	2011-06-27	18:55	"Olympic Pipeline Substation, Washington"	WECC	\N	Vandalism	\N	\N		
2011	2011-07-06	9:51	2011-07-06	9:52	Vermont	NPCC	\N	Vandalism	\N	\N		
2011	2011-07-08	10:00	2011-07-11	9:00	"PJM Corporate Office, Pennsylvania"	RFC	\N	Suspected Cyber Attack	\N	\N		
2011	2011-07-12	20:20	2011-07-12	21:30	California	WECC	\N	Suspected Physical Attack	\N	\N		
2011	2011-07-13	17:19	2011-07-13	22:03	"Pueblo, Colorado"	WECC	\N	Load Shed	580	\N		
2011	2011-07-19	11:45	2011-07-19	15:00	Maine	NPCC	\N	Vandalism	\N	\N		
2011	2011-07-20	9:10	2011-07-20	16:30	"Frederickson Substation, Washington"	WECC	\N	Vandalism	\N	\N		
2011	2011-07-21	12:32	2011-07-22	6:30	"Lower Peninsula, Michigan"	RFC	\N	Public Appeal to Reduce Electricity Usage	8881	\N		
2011	2011-07-21	13:00	2011-07-21	15:00	"Springfield, Illinois"	SERC	\N	Public Appeal to Reduce Electricity Usage	\N	\N		
2011	2011-07-22	11:00	2011-07-22	18:00	"Upstate, New York"	NPCC	\N	Public Appeal to Reduce Electricity Usage	\N	\N		
2011	2011-07-27	12:07	2011-07-27	12:08	"Fife, Washington"	WECC	\N	Vandalism	\N	\N		
2011	2011-07-28	7:26	2011-07-29	7:26	"Daviess County, Kentucky"	SERC	\N	Fuel Supply Deficiency (Coal)	\N	\N		
2011	2011-07-28	13:32	2011-07-28	13:32	Indiana  	RFC	\N	Vandalism	\N	\N		
2011	2011-07-28	19:25	2011-07-28	19:25	"Spanaway, Washington"	WECC	\N	Vandalism	\N	\N		
2011	2011-07-29	11:46	2011-07-29	17:00	"Fredrickson, Washington"	WECC	\N	Vandalism	\N	\N		
2011	2011-08-01	14:18	2011-08-01	14:18	"Jefferson, Oregon"	WECC	\N	Vandalism	\N	\N		
2011	2011-08-02	10:15	2011-08-03	9:16	Oklahoma	SPP	\N	Public Appeal to Reduce Electricity Usage	\N	\N		
2011	2011-08-03	10:00	2011-08-19	10:00	Western New York	NPCC	\N	Fuel Supply Deficiency (Coal)	675	\N		
2011	2011-08-03	16:29	2011-08-03	23:40	Northeast Oklahoma	SPP	\N	Public Appeal to Reduce Electricity Usage	300	\N		
2011	2011-08-04	10:30	2011-08-04	16:00	"Arkansas, Oklahoma, Texas"	SPP	\N	Public Appeal to Reduce Electricity Usage	\N	\N		
2011	2011-08-08	9:35	2011-08-08	16:00	"Collins Substation, Washington"	WECC	\N	Vandalism	\N	\N		
2011	2011-08-09	10:26	2011-08-09	17:00	"Polk Substation, Tacoma, Washington"	WECC	\N	Vandalism	\N	\N		
2011	2011-08-18	9:51	2011-08-18	16:00	"Collins Substation, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2011	2011-08-22	10:05	2011-08-22	16:00	"Collins Substation, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2011	2011-09-01	8:13	2011-09-01	16:00	"Graham Substaion, Washington"	WECC	\N	Vandalism	\N	\N		
2011	2011-09-08	19:53	2011-09-09	16:00	"Collins Substation, Tacoma, Washington"	WECC	\N	Vandalism	\N	\N		
2011	2011-09-13	11:43	2011-09-14	16:00	"Lacamas Substation, Roy, Washington"	WECC	\N	Vandalism	\N	\N		
2011	2011-09-20	12:55	2011-09-20	17:00	"Lacamas Substaion, Washington"	WECC	\N	Vandalism	\N	\N		
2011	2011-09-24	16:17	2011-09-25	16:00	"Collins Substation, Tacoma, Washington"	WECC	\N	Vandalism	\N	\N		
2011	2011-09-28	9:30	2011-09-28	13:00	"Watertown, Connecticut"	NPCC	\N	Vandalism	\N	\N		
2011	2011-09-29	18:44	2011-09-30	16:00	"Collins Substation, Tacoma, Washington"	WECC	\N	Vandalism	\N	\N		
2011	2011-10-07	8:04	2011-10-07	16:00	"Olympic Pipeline, Spanaway, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2011	2011-10-27	1:00	2011-10-27	2:36	"Munster, Indiana"	RFC	\N	Vandalism	\N	\N		
2011	2011-12-02	16:15	2011-12-02	20:30	Rusk County Texas	TRE	\N	Suspected Physical Attack	\N	\N		
2011	2011-12-05	14:00	2011-12-06	17:00	"Tacoma, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2011	2011-12-08	8:45	2011-12-08	16:30	"Tacoma, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2011	2011-12-19	8:48	2011-12-19	16:00	"Croft Substation, Tacoma, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2011	2011-12-20	9:30	2011-12-20	9:31	"Tacoma, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2011	2011-12-31	21:26	2011-12-31	21:26	"Tacoma, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2012	2012-01-04	12:14	2012-01-04	12:14	"Tacoma, Washington"	WECC	\N	Suspected physical attack	\N	\N		
2012	2012-01-05	10:28	2012-01-05	12:25	"Creek County, Oklahoma"	SPP	\N	Suspected physical attack	\N	\N		
2012	2012-01-09	14:30	2012-01-09	15:30	"Watertown, Connecticut"	NPCC	\N	Vandalism	\N	\N		
2012	2012-01-10	21:30	2012-01-10	21:30	"Rusk County, Texas"	TRE	\N	Load Shed	\N	\N		
2012	2012-01-15	9:35	2012-01-15	9:35	"Tacoma, Washington"	WECC	\N	Vandalism	\N	\N		
2012	2012-01-24	11:22	2012-01-24	11:22	"Tacoma, Washington"	WECC	\N	Vandalism	\N	\N		
2012	2012-01-27	9:40	2012-01-27	9:40	"Frederickson Substation, Spanaway, Washington"	WECC	\N	Vandalism	\N	\N		
2012	2012-01-29	12:45	2012-01-29	12:45	"Roosevelt Substation, Tacoma, Washington"	WECC	\N	Vandalism	\N	\N		
2012	2012-02-11	8:55	2012-02-11	8:55	"Tacoma, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2012	2012-02-13	7:02	2012-02-13	16:25	"Asheville, North Carolina"	SERC	\N	Suspected Physical Attack	\N	\N		
2012	2012-02-14	19:20	2012-02-15	16:00	"Tacoma, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2012	2012-02-17	3:00	2012-02-17	11:33	"Little Rock, Arkansas"	SERC	\N	Suspected Cyber Attack	\N	\N		
2012	2012-02-24	11:24	2012-02-24	11:49	"Spanaway, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2012	2012-02-28	7:00	2012-02-28	7:00	Coos County Oregon	WECC	\N	Suspected Physical Attack	\N	\N		
2012	2012-03-02	12:37	2012-03-05	12:01	Northern Alabama; Southeast Tennessee	SERC	\N	Severe Weather - Tornadoes	500	\N		
2012	2012-03-02	13:45	2012-03-02	15:30	"Piggott, Arkansas"	SERC	\N	Operational Failure/Equipment Malfunction	\N	\N		
2012	2012-03-04	1:27	2012-03-04	6:58	"Prince Georges County, Maryland"	RFC	\N	Suspected Physical Attack	\N	\N		
2012	2012-03-04	13:38	2012-03-05	11:00	Texas	SERC	\N	Suspected Physical Attack	\N	\N		
2012	2012-03-26	13:24	2012-03-26	13:24	"Tacoma, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2012	2012-03-28	10:17	2012-03-28	10:17	"Graham, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2012	2012-03-30	11:10	2012-03-30	11:30	Vermont	NPCC	\N	Suspected Physical Attack	\N	\N		
2012	2012-04-04	15:32	2012-04-06	15:30	"WAPA-SNR Regional Office, California"	WECC	\N	Suspected Physical Attack	\N	\N		
2012	2012-04-12	8:08	2012-04-12	16:30	"Tacoma, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2012	2012-04-15	19:38	2012-04-15	21:26	Georgia	SERC	\N	Suspected Physical Attack	\N	\N		
2012	2012-04-19	7:53	2012-04-19	16:00	"Tacoma, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2012	2012-04-21	15:02	2012-04-21	20:09	"East Bridgewater, Massachusetts"	NPCC	\N	Physical Attack	\N	\N		
2012	2012-04-21	20:55	2012-04-23	16:30	"Tacoma, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2012	2012-04-23	8:11	2012-04-23	12:47	Northwest Indiana	RFC	\N	Suspected Physical Attack	\N	\N		
2012	2012-04-23	11:56	2012-04-23	15:35	"Snohomish County, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2012	2012-05-11	11:05	2012-05-11	11:20	"Lakewood, Washington"	WECC	\N	Vandalism	\N	\N		
2012	2012-05-24	15:20	2012-05-25	17:29	"Tyngsborough, Massachusetts"	NPCC	\N	Physical Attack	\N	\N		
2012	2012-05-29	18:30	2012-05-29	19:40	"Alder Dam, Pierce County, Washington"	WECC	\N	Physical Attack	\N	\N		
2012	2012-06-02	7:30	2012-06-02	11:35	"San Francisco, California"	WECC	\N	Vandalism	\N	\N		
2012	2012-06-06	8:00	2012-06-06	8:00	"Delhi, New York"	NPCC	\N	Vandalism	\N	\N		
2012	2012-06-19	5:30	2012-06-21	5:30	CAISO Territory California	WECC	\N	Fuel Supply Deficiency (Water)	\N	\N		
2012	2012-06-30	15:00	2012-07-02	12:00	Northeast Tennessee	SERC	\N	Public Appeal to Reduce Electricity Usage	\N	\N		
2012	2012-07-06	15:05	2012-07-06	15:06	"Tacoma, Washington"	WECC	\N	Vandalism	\N	\N		
2012	2012-07-09	12:15	2012-07-09	16:14	"Alberta, Canada"	WECC	\N	Energy Deficiency Alert	9896	\N		
2012	2012-07-16	11:27	2012-07-16	12:29	"Little Rock, Arkansas"	SPP	\N	Public Appeal to Reduce Energy Usage	\N	\N		
2012	2012-07-19	10:30	2012-07-31	11:00	"Niagara County, New York"	NPCC	\N	Fuel Supply Deficiency (Coal)	675	\N		
2012	2012-07-19	12:32	2012-07-19	12:33	"Newark, Delaware"	RFC	\N	Vandalism	\N	\N		
2012	2012-08-01	12:00	2012-08-01	12:00	"Oklahoma, Arkansas"	SPP	\N	Public Appeal to Reduce Electricity Usage	\N	\N		
2012	2012-08-11	12:45	2012-08-11	17:00	"Tacoma, Washington"	WECC	\N	Suspected Physical Attack	\N	\N		
2012	2012-08-13	13:15	2012-08-13	13:15	"Knoxville, Tennessee"	SERC	\N	Vandalism	\N	\N		
2012	2012-08-13	15:52	2012-08-13	19:44	CFE (Mexico & U.S.)	WECC	\N	Severe Weather - Dust Storm; Load Shed Event	655	\N		
2012	2012-09-06	4:45	\N	\N	"Oroville, California"	WECC	\N	Fuel Supply Deficiency (Water)	\N	\N		
2012	2012-10-05	17:30	2012-10-05	17:50	"Greater Sacramento, California"	WECC	\N	Suspected Physical Attack	\N	\N		
2012	2012-10-25	0:00	2012-10-25	0:01	"West Lanham, Maryland"	RFC	\N	Physical Attack; Vandalism	\N	\N		
2012	2012-10-29	8:00	2012-11-04	23:00	New Jersey	RFC	\N	Severe Weather - Hurricane Sandy	\N	\N		
2012	2012-10-29	15:00	2012-10-29	15:01	"Las Vegas, Nevada"	WECC	\N	Suspected Physical Attack	\N	\N		
2012	2012-10-30	15:00	2012-10-30	15:01	"Pueblo, Colorado"	WECC	\N	Physical Attack; Vandalism	\N	\N		
2012	2012-11-15	21:09	2012-11-15	21:26	Iowa; Michigan	MRO	\N	Suspected Cyber Attack	\N	\N		
2012	2012-11-21	14:50	2012-11-21	14:51	"Bethany Beach, Delaware"	RFC	\N	Physical Attack; Vandalism	\N	\N		
2012	2012-11-26	15:07	2012-11-26	15:08	"Georgetown, Delaware"	RFC	\N	Physical Attack; Vandalism	\N	\N		
2012	2012-12-06	21:18	2012-12-06	21:31	"Greater San Jose, California"	WECC	\N	Load Shed	390	\N		
2013	2013-01-07	10:43	2013-01-07	10:43	"Denton, Maryland"	RFC	\N	Physcial Attack; Vandalism	\N	\N		
2013	2013-01-16	14:25	2013-01-16	14:25	"Denton, Maryland"	RFC	\N	Physcial Attack; Vandalism	\N	\N		
2013	2013-01-16	7:41	2013-01-17	10:58	"Webster County, Iowa"	MRO	\N	Physical Attack	\N	\N		
2013	2013-01-28	16:46	2013-01-28	18:00	"Tacoma Narrows Crossing, Washington"	WECC	\N	Physical Attack	\N	\N		
2013	2013-02-02	21:15	2013-02-02	22:15	"El Paso, New Mexico"	WECC	\N	Vandalism	\N	\N		
2013	2013-02-09	8:30	2013-02-09	15:00	"El Paso, New Mexico"	WECC	\N	Vandalism; Equipment Fault	\N	\N		
2013	2013-02-10	19:46	2013-02-10	20:15	Puerto Rico	\N	\N	Generator Trip; Voltage Reduction	350	\N		
2013	2013-02-15	0:00	2013-02-15	0:01	"Tuxedo, Maryland"	RFC	\N	Vandalism	\N	\N		
2013	2013-02-21	11:00	2013-02-21	11:30	"Las Cruces, New Mexico"	WECC	\N	Vandalism	\N	\N		
2013	2013-03-03	16:27	2013-03-03	18:20	"Tacoma Park, Maryland"	RFC	\N	Vandalism	\N	\N		
2013	2013-03-04	9:49	2013-03-04	22:00	Metropolitan area Puerto Rico	\N	\N	Equipment Failure; Transmission System Interruption	\N	\N		
2013	2013-03-23	7:00	2013-03-23	9:00	Connecticut	NPCC	\N	Vandalism	\N	\N		
2013	2013-03-27	10:25	2013-03-27	12:19	Western Massachusetts	NPCC	\N	Physical Attack; Vandalism	\N	\N		
2013	2013-03-28	13:01	2013-03-28	13:02	"Wilmington, Delaware"	RFC	\N	Vandalism	\N	\N		
2013	2013-03-29	10:16	2013-03-29	10:17	Maryland	RFC	\N	Suspected Physical Attack	\N	\N		
2013	2013-04-01	8:40	2013-04-01	8:41	Connecticut	NPCC	\N	Vandalism - Copper Wire Theft	\N	\N		
2013	2013-04-09	11:30	2013-04-09	11:31	"Delaware City, Delaware"	RFC	\N	Vandalism	\N	\N		
2013	2013-04-17	15:36	2013-04-17	16:53	"Colbert Steam Plant in Cherokee, Alabama"	SERC	\N	Suspected Physical Attack	\N	\N		
2013	2013-04-21	2:11	2013-04-21	12:30	East Tennessee	SERC	\N	Suspected Physical Attack	\N	\N		
2013	2013-04-23	11:00	2013-04-23	11:01	"Newark, Delaware"	RFC	\N	Vandalism	\N	\N		
2013	2013-05-02	6:52	2013-05-02	10:07	\N	WECC	\N	Electrical System Separation (Islanding)	\N	\N		
2013	2013-05-09	13:21	2013-05-09	16:21	"Alberta, Canada; Washington State"	WECC	\N	Electrical System Separation (Islanding)	\N	\N		
2013	2013-05-13	12:52	\N	\N	Central California	WECC	\N	Fuel Supply Emergency - Hydro	176	\N		
2013	2013-05-14	0:01	2013-05-14	13:59	"Portland, Oregon"	WECC	\N	Vandalism/Theft	\N	\N		
2013	2013-05-14	10:25	2013-05-14	11:42	New Hampshire	NPCC	\N	Vandalism	\N	\N		
2013	2013-05-15	14:11	2013-05-15	14:12	"Wilmington, Delaware"	RFC	\N	Vandalism	\N	\N		
2013	2013-05-17	8:35	2013-05-17	8:36	"Newcastle, Delaware"	RFC	\N	Vandalism	\N	\N		
2013	2013-05-28	13:00	2013-05-28	18:00	Maine	NPCC	\N	Vandalism/Theft	\N	\N		
2013	2013-05-29	0:00	2013-05-29	0:02	"Henrico County, Virginia"	SERC	\N	Physical Attack	\N	\N		
2013	2013-05-29	9:52	2013-05-29	9:53	"Wilmington, Delaware"	RFC	\N	Vandalism/Theft	\N	\N		
2013	2013-05-30	10:15	2013-05-30	10:16	"Saranac, New York"	NPCC	\N	Vandalism	\N	\N		
2013	2013-05-31	1:00	2013-05-31	1:30	"Maumelle, Arkansas"	SPP	\N	Severe Weather - Lightning	\N	\N		
2013	2013-06-03	12:50	2013-06-03	13:36	"Alberta, Canada"	WECC	\N	Electrical System Separation (Islanding)	\N	\N		
2013	2013-06-18	15:51	2013-06-18	16:23	Wyoming	WECC	\N	Electrical System Separation (Islanding)	6	\N		
2013	2013-06-19	19:57	2013-06-19	20:09	"Alberta, Canada"	WECC	\N	Electrical System Separation (Islanding)	\N	\N		
2013	2013-06-20	18:00	2013-06-21	10:00	"Richie Station (No. 123), Maryland"	RFC	\N	Physcial Attack; Vandalism	\N	\N		
2013	2013-06-21	8:31	2013-10-30	14:09	"Michigan, Iowa"	MRO	\N	Suspected Cyber Attack	\N	\N		
2013	2013-06-21	23:14	2013-06-21	23:15	New Castle Delaware	RFC	\N	Physical Attack; Vandalism	\N	\N		
2013	2013-06-22	16:12	2013-06-22	17:45	Eastern Montana	WECC	\N	Suspected Physical Attack	\N	\N		
2013	2013-06-22	4:59	2013-06-22	21:28	Medford Oregon	WECC	\N	Physical Attack; Vandalism	\N	\N		
2013	2013-06-27	1:10	2013-06-27	2:45	"Richie Substation,Seat Pleasant, Maryland"	RFC	\N	Physical Attack; Vandalism	\N	\N		
2013	2013-06-28	13:00	2013-06-28	13:01	Vermont	NPCC	\N	Physical Attack; Vandalism	\N	\N		
2013	2013-06-28	17:14	2013-06-28	17:15	New Castle Delaware	RFC	\N	Physical Attack; Vandalism	\N	\N		
2013	2013-07-02	14:20	2013-07-05	15:30	"Alberta, Canada"	WECC	\N	Load Shed 100+MW	200	\N		
2013	2013-07-11	23:20	2013-07-14	15:22	Arizona	WECC	\N	Physical Attack; Vandalism	455	\N		
2013	2013-07-12	10:00	2013-07-12	10:01	Washington	WECC	\N	Physical Attack; Vandalism	\N	\N		
2013	2013-07-17	15:30	2013-07-19	6:45	"Holtsville, New York"	NPCC	\N	Fuel Supply Emergency (Natural Gas)	417	\N		
2013	2013-07-18	3:15	2013-07-18	3:59	Utah	WECC	\N	Physical Attack; Vandalism	\N	\N		
2013	2013-07-18	11:30	2013-07-19	17:30	Upstate New York	NPCC	\N	Public Appeal - Heatwave	\N	\N		
2013	2013-07-22	7:00	2013-07-22	15:00	California	WECC	\N	Physical Attack; Vandalism	\N	\N		
2013	2013-07-25	13:10	2013-07-25	13:15	"Polk Substation, Tacoma Washington"	WECC	\N	Physical Attack; Vandalism	\N	\N		
2013	2013-08-01	11:00	2013-08-01	16:00	"Newburgh, New York"	NPCC	\N	Physical Attack; Copper Theft	\N	\N		
2013	2013-08-01	18:54	2013-08-01	19:37	Western British Columbia	WECC	\N	Electrical System Separation (Islanding	420	\N		
2013	2013-08-04	3:00	2013-08-04	4:00	Utah	WECC	\N	Physical Attack; Vandalism	\N	\N		
2013	2013-08-05	18:35	2013-08-05	18:45	"Vancouver, British Columbia"	WECC	\N	Electrical System Separation (Islanding); Severe Weather	\N	\N		
2013	2013-08-06	16:00	2013-08-06	17:32	"Holloman Air Force Base, New Mexico"	WECC	\N	Physcial Attack; Vandalism	\N	\N		
2013	2013-08-07	7:30	2013-08-07	9:14	"Green Bay, Wisconsin"	MRO	\N	Fuel Supply Emergency (Natural Gas & Fuel Oil)	\N	\N		
2013	2013-08-07	14:30	2013-08-08	13:00	"Arlington, Oregon"	WECC	\N	Physcial Attack; Vandalism	\N	\N		
2013	2013-08-12	11:55	2013-08-12	11:59	"Portland, Oregon"	WECC	\N	Suspicious Activity	\N	\N		
2013	2013-08-21	14:00	2013-08-21	14:01	"Cabot, Arkansas"	SERC	\N	Physcial Attack; Sabotage	\N	\N		
2013	2013-08-22	8:40	2013-08-22	11:49	"Gila River, Arizona"	WECC	\N	Physcial Attack; Sabotage	\N	\N		
2013	2013-08-22	12:55	2013-08-22	14:45	"New Castle, Delaware"	RFC	\N	Physcial Attack; Vandalism	\N	\N		
2013	2013-08-23	7:30	2013-08-23	7:31	"New Castle, Delaware"	RFC	\N	Physcial Attack; Vandalism	\N	\N		
2013	2013-08-26	20:15	2013-08-26	20:16	Tacoma Washington	WECC	\N	Physcial Attack; Vandalism	\N	\N		
2013	2013-08-28	9:30	2013-08-28	9:31	Sweetwater County Wyoming	WECC	\N	Physcial Attack; Vandalism	\N	\N		
2013	2013-08-29	9:50	2013-08-29	9:50	"Joplin, Missouri"	\N	\N	Physcial Attack; Vandalism	\N	\N		
2013	2013-09-10	17:42	2013-09-11	0:02	"Erie, Pennsylvania"	RFC	\N	Load Shed of 100+ MW	105	\N		
2013	2013-09-29	0:00	2013-09-29	1:00	Cabot Arkansas	SERC	\N	Physcial Attack; Sabotage	\N	\N		
2013	2013-10-11	14:30	2013-10-11	18:30	"Keo, Arkansas"	SERC	\N	Physical Attack	\N	\N		
2013	2013-10-19	14:32	2013-10-19	22:00	California	WECC	\N	Physical Attack	\N	\N		
2013	2013-10-26	7:13	2013-10-26	7:14	Arizona	WECC	\N	Suspected Physical Attack	\N	\N		
2013	2013-11-01	13:26	2013-11-01	13:27	"Wilmington, Delaware"	RFC	\N	Physical Attack - Vandalism	\N	\N		
2013	2013-11-02	8:25	2013-11-02	8:26	"Salt Lake City, Utah"	WECC	\N	Physical Attack - Vandalism	\N	\N		
